camp_name,agency,governorate,district,coordinates_latitude,coordinates_longitude,site_typology,priorityneeds/urgent,background/ownerofthesite,background/date_first_occupied,background/recentinflux,background/totalpopulationfirstarrived,background/reasonfordisplacement,background/sitemanagement,background/awareofhumanitarianorganizationonsite,hh/total_families,hh/total_population,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_mental_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,vulnerabilities_groups/widow,shelter_type/tent,shelter_type/makeshift_improvised,shelter_type/singlefamily,shelter_type/multiplefamily,shelter_type/prefab,shelter_type/school,shelter_type/religiousbuilding,shelter_type/privatebuilding,shelter_type/publicbuilding,shelter_type/militaryspace,shelter_type/others,,protection/fallinghazardsinthesite,protection/riskofunexplodedmines,protection/opentoelements,protection/damagetoprimarybuilding,protection/otherbasicneeds,protection/anyincidents,protection/securitystafforpoliceofficersstationed,protection/tensionbetweenresidentsandhostcommunity,protection/threatsofeviction,protection/sufficientandreliableaccesstofood,Which of the following statements describes best the access to electricity at the site?,wash,wash/functionallatrines,wash/functionalshowers,wash/solidwastevisible,nfi/blankets,nfi/mattress,nfi/jerrycan,nfi/kerosene,nfi/kitchen,nfi/hygienekits,nfi/femalehyginekits,nfi/tarpaulin,nfi/solarlatrines,nfi/electricityaccess,nfi/others,health/functionalclinic,health/clinicemergencyservices,health/clinicprenatalservices,health/clinicdispensemedication,health/functionalhospital,health/hospitalemergencyservices,health/hospitlapediatricservices,health/hospitalprenatalservices,health/hospitaldipensemedication,education/primaryschool,education/primaryschooldistance,education/primarysufficientteachers,education/secondaryschool,educaton/secondschooldistance,education/secondarysufficientteachers,assistance/recent,Do you know their name?,Please add any additional comments based on observations or additional information provided by the key informant that would be useful for CCCM actors to know.,_id,_uuid,_submission_time,_validation_status,_index
Abadat Village,Blumont,Kirkuk,Daquq,35.28034885,44.36301098,Self settled camp,"WASH
Education 
Cash Assistance 
Health Assistance",N/A,2014-07-16,No,,ISIS,Private,No,25,150,20,25,12,18,20,10,20,25,5,0,0,5,8,9,25,1,6,0,0,20,5,0,0,0,0,0,0,0,0,Extensive presence,No,Half of more,There is severe damage to primary building,"Cash
Basic Services 
Education 
Health assistance",No,No,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,20,20,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring electrical points near water sources overloaded circuits,Not available or not sufficient,No,,,,No,,,,,No,,,No,,,N/A,,N/A,7980521,f57626a5-2d52-465e-a69d-c86556fc36b0,2019-12-03T14:13:16,,54
Omar Bin Al Khattab,Blumont,Kirkuk,Daquq,35.24042763,44.38874136,Self settled camp,"WASH
Livelihood 
Primary Healthcare",NA,2015-02-05,No,,ISIS,Private,I don't know,200,1200,110,150,140,200,160,250,80,110,35,0,0,5,3,120,45,0,10,0,0,130,70,0,0,0,0,0,0,,,Extensive presence,No,Everyone,There is severe damage to primary building,Cash,No,No,No,No,Yes,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,No,No,,No,NA,,,7981520,5c7d4d9c-3128-406c-84a8-77acf2b0dc4d,2019-12-03T14:40:17,,55
Kirkuk -Hey Adan,Blumont,Kirkuk,Kirkuk,35.40295734,44.37629039,Self settled camp,"Cash
NFI
Livelyhood
BASIC SERVICES",N/A ,2015-05-04,No,,ISIS,Private,No,250,1500,210,250,425,110,120,135,120,130,8,0,0,2,6,0,14,0,8,0,0,240,10,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is slight damage to primary building,Cash,No,Yes,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,240,240,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,overloaded circuits,Not available or not sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,N/A ,,N/A,7981706,b60d0cc7-dea7-4516-8663-eb30b18e66f8,2019-12-03T14:49:27,,56
Hay Tayarr,Blumont,Salah al-Din,Tooz Khurmato,34.89688127,44.62072256,Self settled camp,"Cash
Livelihood
Kerosene
Food",NA,2014-08-01,No,,NA,Private,No,15,94,10,14,12,14,16,16,5,7,4,0,0,1,1,1,5,0,3,0,0,15,0,0,0,0,0,0,0,0,NA,Some presence,No,Half of more,There is moderate damage to primary building,Cash,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,No electricity in whole site electrical points near water sources,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,1,No,NA,,NA,7999466,f955c92a-09d9-4b13-811a-920858e5bf8a,2019-12-04T11:41:04,,57
Hay Al-Razgari,Blumont,Salah al-Din,Tooz Khurmato,34.88606449,44.63936906,Self settled camp,"Cash
WASH
Livelihood
Kerosene",NA,2014-11-05,No,,ISIS,Private,No,30,180,16,21,20,29,30,35,10,19,5,0,0,1,2,2,8,0,6,0,0,30,0,0,0,0,0,0,0,0,NA,Some presence,No,Less than half,There is moderate damage to primary building,Cash,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits low and uncovered electrical points,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,NA,7999469,f5230157-d46d-4226-bab3-90d8e97da3bf,2019-12-04T11:41:05,,58
Doz- Komari 2,Blumont,Salah al-Din,Tooz Khurmato,34.89922539,44.62121104,Self settled camp,"Cash
Psycholoical Support
Educational courses
Health assistance",N/A,2015-08-24,No,,ISIS,Private,No,18,108,10,18,15,15,12,13,11,14,8,0,0,4,6,2,6,0,4,0,0,18,0,0,0,0,0,0,0,0,0,No presence,No,Less than half,There is moderate damage to primary building,Cash,No,Yes,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,18,18,No,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,N/A,,N/A,8006211,6376a91d-88c2-4578-93a2-235c4296289e,2019-12-04T15:19:56,,59
Germian - Pamar,Blumont,Salah al-Din,Tooz Khurmato,34.89392155,44.63773447,Self settled camp,"Psychosocial support
Cash
Shelter
Traning courses",N/A,2015-12-27,No,,ISIS,Private,No,17,115,15,15,12,12,18,12,16,15,1,0,0,2,8,0,12,0,4,0,0,17,0,0,0,0,0,0,0,0,0,No presence,No,Less than half,There is slight damage to primary building,Cash,No,Yes,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,17,17,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,No,,,,No,,,,,Yes,1,Yes,Yes,1,Yes,N/A,,N/A,8006212,5b2e2a29-8557-47cc-959f-91986dba7b24,2019-12-04T15:19:57,,60
Komari - Shaidan,Blumont,Salah al-Din,Tooz Khurmato,34.89764572,44.62434946,Self settled camp,"Cash, lack of teachers",Private,2014-12-04,Yes,<25%,ISIS,Private,No,700,700,100,140,100,115,80,95,35,35,20,0,0,0,0,5,0,0,50,0,0,200,500,0,0,0,0,0,0,0,None,Some presence,No,Less than half,There is slight damage to primary building,"Cash,",No,No,No,No,No,Shortages in are affecting everyone,All needs are met,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,None,,Cash & certified teachers are needed in that area.,8008450,6b3b918d-0096-43a9-bb9e-e188d160c3ca,2019-12-04T19:54:28,,61
Hay Brayati,Blumont,Salah al-Din,Tooz Khurmato,34.90491749,44.61233246,Self settled camp,"Cash, none other than that.",Private,2014-06-10,No,,ISIS,Private,No,250,250,25,35,50,55,30,35,9,11,5,0,0,0,0,4,5,0,10,0,0,240,10,0,0,0,0,0,0,0,None,No presence,No,None,There is slight damage to primary building,None,No,No,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Available and sufficient,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,1,Yes,Yes,1,Yes,None,,None,8008451,d6919b9d-5851-4e3d-983e-8bf26901ab1c,2019-12-04T19:54:29,,62
Jesir Dara,Blumont,Salah al-Din,Tooz Khurmato,34.93380722,44.59649496,Self settled camp,"Certified teachers, Lack of schools, health Clinic, Water Purification.",Private,2014-12-15,No,,"ISIS, Lack of security",Private,No,225,225,40,50,20,25,35,40,7,8,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,None,No presence,No,None,There is no damage to primary building,"NFI "" Blankets, matresses""",No,No,No,No,Yes,Less than half of the people are facing shortages,All needs are met,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,No,,,,No,,,,,No,,,No,,,Small start-up project for individuals,,"Water purification, Health Clinic",8008452,277f1a15-a16d-4726-aa5f-b48a7fdac0a8,2019-12-04T19:54:30,,63
Hay Al-Taiyar,Blumont,Salah al-Din,Tooz Khurmato,34.89798081,44.62027096,Self settled camp,"Cash, Livelihood, NFI",Private,2014-12-04,No,,ISIS,Private,No,45,45,7,10,5,8,4,5,3,3,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,0,0,0,0,0,0,No presence,No,None,There is no damage to primary building,"Cash, Gas, Livelihood",No,No,No,No,No,Half or more than half of the people are facing shortages,All needs are met,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring overloaded circuits electrical points near water sources low and uncovered electrical points,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,1,No,No,,No,None,,"Cash, Livelihood and NFI needed for IDPs",8008453,fcea00d3-9056-4873-affb-f01a56bc7bab,2019-12-04T19:54:31,,64
Shojaa Houses,IOM,Salah al-Din,Beygee,34.91535748,43.48011473,Spontaneous settlement,"Sheltter Upgrade
Risk Reduction
Capacity Building
Livelihood Support",No,2018-08-07,Yes,25%-50%,Forced Displacement,None,No,15,80,7,12,9,14,15,18,2,3,4,0,0,2,0,2,3,0,4,0,0,11,4,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Less than half of the people are facing shortages,1,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,No other basic needs mentioned,No,,,,No,,,,,Yes,1,Don't know,Yes,1,Don't know,??????,,none,8178682,2fab2747-a989-45eb-9d03-1fc44b294d1f,2019-12-18T06:49:51,,71
Jamil Unfinished Houses,IOM,Salah al-Din,Beygee,34.91771898,43.48471919,Spontaneous settlement,"Awareness Session 
Risk Reduction
Utlity Maintenance
Shelter Upgrade",,2019-08-22,Yes,50%-75%,Forced Displacement,None,No,15,75,6,9,10,15,14,16,3,2,2,0,0,1,1,2,2,0,3,0,0,9,6,0,0,0,0,0,0,0,,Some presence,No,Less than half,There is severe damage to primary building,,No,Yes,No,No,No,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points No electricity in whole site,No other basic needs mentioned,No,,,,No,,,,,Yes,1,Yes,Yes,1,Don't know,,,none,8178683,c090fc25-c847-43a9-be6d-c641dece5f09,2019-12-18T06:49:52,,72
Faredah Ali Unfinished Houses,IOM,Salah al-Din,Beygee,34.91861016,43.47830344,Spontaneous settlement,"Capacity Building 
Site Managment
Garbage Disposal
Awareness Session",,2019-01-01,Yes,50%-75%,Forced Displacement,None,No,16,81,8,10,7,20,8,20,5,3,8,0,0,2,1,2,3,0,5,0,0,8,7,0,0,0,0,0,0,,,Some presence,No,Less than half,There is slight damage to primary building,,No,Yes,No,No,No,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,No,No,Yes,1,Don't know,Yes,1,Don't know,,,none,8178684,dc3d9f6a-ec84-4f23-aeca-e5e41053403f,2019-12-18T06:49:53,,73
Mustafa Awad Houses,IOM,Salah al-Din,Beygee,34.92263348,43.48583588,Spontaneous settlement,"Shelter Upgrade
Risk Reduction
Capacity Building",,2019-08-22,Yes,50%-75%,Forced Displacement,None,I don't know,20,86,9,13,11,14,16,18,3,2,6,0,0,1,0,1,2,0,0,2,0,11,7,0,0,0,0,0,0,,,Some presence,No,Less than half,There is slight damage to primary building,,No,Yes,No,No,No,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,Don't know,No,No,Yes,1,Don't know,Yes,1,Don't know,,,none,8178685,4df358ae-d098-4276-bb40-264db9b7183d,2019-12-18T06:49:56,,74
Salih Ali Abended Houses,IOM,Salah al-Din,Beygee,34.91794026,43.48333222,Spontaneous settlement,"Awareness Session 
Garbage Disposal
community Mobilization
Site Managment",,2019-09-07,Yes,50%-75%,Forced Displacement,None,No,15,67,4,8,10,14,12,16,1,2,3,0,0,1,0,2,1,0,1,1,0,9,5,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Less than half of the people are facing shortages,Less than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site electrical points near water sources low and uncovered electrical points,No other basic needs mentioned,No,,,,Yes,Yes,Yes,No,Yes,Yes,1,Don't know,Yes,1,Don't know,,,none,8178686,6721286a-99e3-480e-9f17-f34d0a40c4c7,2019-12-18T06:49:59,,75
Riyad Ahmed Building,IOM,Salah al-Din,Beygee,34.91894375,43.47604726,Spontaneous settlement,"Site Managment 
Shelter Upgrade
Utility Maintenance 
Risk Reduction",,2019-09-20,Yes,50%-75%,Forced Displacement,None,I don't know,16,71,7,9,10,12,12,16,3,2,4,0,0,2,0,2,3,0,2,0,0,10,6,0,0,0,0,0,0,,,Some presence,No,Less than half,There is slight damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,Don't know,,,,Yes,Yes,Don't know,No,No,Yes,2,Don't know,Yes,2,No,,,none,8178687,ffd3851a-bfa2-4f50-98ea-e795afdf7812,2019-12-18T06:50:00,,76
Rail Station Site,IOM,Salah al-Din,Beygee,34.91905168,43.47505165,Spontaneous settlement,"Livelihood Support
Site Managment
Awareness Session
Garbage Disposal",,2018-03-18,Yes,25%-50%,Forced Displacement,None,No,15,78,6,8,10,13,16,20,3,2,3,0,0,1,0,0,3,0,2,1,0,9,5,0,0,0,0,0,0,,,Some presence,No,Less than half,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,No other basic needs mentioned,No,,,,Yes,Don't know,Yes,No,No,Yes,1,No,Yes,1,Don't know,,,none,8178688,3942ed26-f743-4b3c-aaa7-ced57301adcc,2019-12-18T06:50:01,,77
Mohammed Ahmed Houses,IOM,Salah al-Din,Beygee,34.91866642,43.47325641,Spontaneous settlement,"Shelter Upgrade
Utility Maintenance 
Capacity Building
Garbage Disposal",,2018-06-28,Not known,,Forced Displacement,None,No,15,58,4,7,5,10,11,16,3,2,2,0,0,0,1,0,1,0,2,0,0,8,7,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points overloaded circuits,No other basic needs mentioned,No,,,,Yes,Yes,No,No,No,Yes,2,No,Yes,2,Don't know,,,none,8178689,95613b87-67bd-4843-bc3b-0f62b130d08e,2019-12-18T06:50:04,,78
Mohanad Tayes Unfinished Houses,IOM,Salah al-Din,Beygee,34.9178446,43.47692015,Spontaneous settlement,"Risk Reduction
Capacity Building
Livelihood Support
Utility Maintenance",,2018-03-15,Yes,50%-75%,Forced Displacement,None,I don't know,18,80,7,11,9,12,16,20,3,2,3,0,0,1,0,1,2,0,3,2,0,10,6,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points No electricity in whole site,No other basic needs mentioned,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,2,No,Yes,1,Don't know,,,none,8178690,b915c998-6bb2-4967-8951-aa293664a4ce,2019-12-18T06:50:05,,79
Old Mill Factory,IOM,Salah al-Din,Beygee,34.9117295,43.47779952,Spontaneous settlement,"Awareness Session 
Utility Maintenance 
Community Mobilization
Capacity Building",,2018-11-20,Yes,50%-75%,Forced Displacement,None,I don't know,15,71,5,7,8,11,16,18,4,2,3,0,0,1,0,0,2,0,4,2,0,8,5,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,No,Don't know,No,Yes,1,No,Yes,1,Don't know,,,,8178691,35502f4b-53f8-4e39-91ac-a9c1ea04f7c2,2019-12-18T06:50:06,,80
Al-Bo Farhood Sector,IOM,Salah al-Din,Beygee,34.92105567,43.4852092,Spontaneous settlement,"Garbage Disposal
Risk Reduction
Capacity Buliding
Utility Maintenance",,2018-08-28,Yes,50%-75%,Forced Displacement,None,No,15,67,4,7,9,13,12,15,5,2,2,0,0,1,0,1,2,0,2,0,0,8,7,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,No,No,Yes,2,Don't know,Yes,1,No,,,none,8178692,86fb74ec-3f45-4e58-b609-a386f7b1a5eb,2019-12-18T06:50:07,,81
Al-Hawasm Sector,IOM,Salah al-Din,Beygee,34.94094787,43.47577184,Spontaneous settlement,"Shelter Upgrade
Risk Reduction
Capacity Building
Livelihood Support",,2019-03-05,Yes,50%-75%,Forced Displacement,None,I don't know,15,60,5,6,9,13,9,13,3,2,3,0,0,1,0,1,2,0,3,0,0,10,5,0,0,0,0,0,0,,,Extensive presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,No,No,Yes,1,Don't know,Yes,2,Don't know,,,none,8178693,da15d1bc-43d2-46f0-ac6f-a82660009f84,2019-12-18T06:50:08,,82
Al-Zaatar Unfinished Houses,IOM,Salah al-Din,Beygee,34.94047154,43.47613622,Spontaneous settlement,Utility Maintenance,,2019-08-04,Yes,50%-75%,Forced Displacement,None,No,15,41,3,4,4,7,8,12,2,1,3,0,0,0,0,1,1,1,2,1,0,8,6,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,2,Don't know,Yes,1,Don't know,,,none,8178694,da8ae3b5-24f2-4a2c-b793-c6df5a357933,2019-12-18T06:50:09,,83
Sheik Attallah Site,IOM,Salah al-Din,Beygee,34.94207549,43.47628428,Spontaneous settlement,"Capacity Building
Livelihood Support
Utility Maintenance
Site Managment",,2019-04-09,Yes,25%-50%,Forced Displacement,None,No,18,55,4,6,7,9,10,14,3,2,2,0,0,1,0,1,2,0,1,2,0,9,7,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points electrical points near water sources,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,Yes,No,Yes,1,Don't know,Yes,2,Don't know,,,none,8178695,ed51c1d3-b70d-4768-8ae2-dfa1aa58c18b,2019-12-18T06:50:10,,84
Ibrahim Unfinished Houses,IOM,Salah al-Din,Beygee,34.93864573,43.47528529,Spontaneous settlement,"Utility Maintenance 
Site Managment
Garbage Disposal 
Risk Reduction",,2019-11-01,Not known,,Forced Displacement,None,No,18,114,10,15,14,20,22,27,3,3,4,0,0,2,0,2,3,0,1,0,0,12,6,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points,No other basic needs mentioned,Don't know,,,,Yes,Yes,Yes,Yes,Yes,Yes,2,Don't know,Yes,2,No,,,none,8178696,c5702577-c60d-4867-8419-c7863abbfb90,2019-12-18T06:50:11,,85
Basheer Houses,IOM,Salah al-Din,Beygee,34.93655096,43.47605528,Spontaneous settlement,"Capacity Building
Shelter Upgrade
Utility Maintenance
Community Mobilization",,2018-09-17,Yes,50%-75%,Forced Displacement,None,No,16,95,8,10,11,13,20,26,4,3,2,0,0,1,1,2,3,0,2,0,0,11,5,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points,No other basic needs mentioned,No,,,,Yes,Yes,Yes,No,Yes,Yes,1,No,Yes,1,Don't know,,,none,8178697,2a8c00d7-4fae-4fd1-ab59-349e56e060c9,2019-12-18T06:50:12,,86
Khalil Unfinished Houses,IOM,Salah al-Din,Beygee,34.93597192,43.47670928,Spontaneous settlement,"Shelter Upgrade
Utility Maintenance
Capacity Building
Garbage Disposal",,2018-02-26,Yes,50%-75%,Forced Displacement,None,I don't know,14,82,5,7,10,15,18,22,3,2,3,0,0,1,1,1,2,0,2,0,0,9,5,0,0,0,0,0,0,,,Some presence,No,Half of more,There is moderate damage to primary building,,No,Yes,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,2,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring electrical points near water sources,No other basic needs mentioned,No,,,,Yes,Yes,No,Yes,No,Yes,1,Don't know,Yes,1,Don't know,,,none,8178698,e2ea392b-accc-4fc4-bc58-dbc6ee758de3,2019-12-18T06:50:15,,87
